ticker,price,vol_1y,vol_3y,pe_now,pe_hist_med,pe_hist_p25,pe_hist_p75,ma50,ma200,px_vs_ma50,px_vs_ma200,resistance,support,upside_to_resist,downside_to_support,hi_52w,lo_52w,ps_hist_med,ps_now,val_basis,fwd_growth,growth_1y,growth_2y,target_median,target_mean,target_upside,n_analysts,growth,pe_revert_full,exp_ret_none,exp_ret_half,exp_ret_full
REG,76.69000244140625,0.1583300282984552,0.1863122722605045,30.421917,25.004313773990532,22.624683380126953,27.014832443026027,79.27780029296875,74.74028060913086,-0.0326421500344279,0.0260866271357991,78.25045776367188,75.318603515625,0.0203475716858643,-0.0178823690458094,82.68000030517578,65.19357299804688,,,fwd_pe,-0.1512189057645513,0.0188,-0.0545217728502763,85.0,86.61111,0.1083582904426541,7.0,-0.0545217728502763,-0.17808224333823108,-0.05452177285027626,-0.13870821470941452,-0.22289465656855267
RF,30.6299991607666,0.2417541011466331,0.2868950167683926,10.77527,8.788993321552178,7.808141331923636,9.971034214769997,30.678600082397463,27.908763942718505,-0.0015841961986637,0.0975046843218607,32.400001525878906,26.377965927124023,0.0577865626382212,-0.1388192409449664,32.400001525878906,22.67023277282715,,,fwd_pe,0.1555366130036648,0.081199996,0.104539987366228,33.05,32.93,0.0790075385419248,16.0,0.104539987366228,-0.18433660395032536,0.10453998736622805,0.0027364122670152646,-0.09906716283219774
RJF,176.67999267578125,0.25147624702348,0.2568851075245071,12.45859,12.927678777103592,11.96685885311069,14.174958756826456,168.34099975585937,158.7734482574463,0.0495363157639296,0.1127804718916227,181.17999267578125,149.72494506835938,0.0254697769218146,-0.1525642332173177,181.17999267578125,139.865966796875,,,fwd_pe,0.2363887887794686,0.1697,0.1534018531703556,185.5,185.91667,0.0499208042214718,14.0,0.1534018531703556,0.03765183516783144,0.1534018531703556,0.17511570139927635,0.1968295496281971
RL,370.8200073242187,0.348486556008392,0.3549422470903358,17.730299,14.470553007955496,12.137963086130751,18.78677372656621,389.4070263671875,363.9139909362793,-0.0477315964644209,0.0189770565571596,383.04010009765625,368.9700012207031,0.0329542433851286,-0.0049889597836562,413.2398986816406,282.75,,,fwd_pe,0.3178627162463532,0.1067,0.1227946705485272,455.0,446.70587,0.2270103851278451,18.0,0.1227946705485272,-0.18385172139762007,0.12279467054852722,0.019580804070316926,-0.08363306240789325
RMD,232.4499969482422,0.284007605323835,0.3196573989775113,17.58656,34.69348024264932,27.24809591480762,38.30114976415094,207.18617553710936,227.74154273986815,0.1219377757499451,0.0206745512993742,254.4679718017578,191.3409118652344,0.0947213385355225,-0.176851304034051,290.6549072265625,182.296875,,,fwd_pe,0.2660421367225882,0.0936,0.0877967185944166,235.0,245.5,0.0109701143696965,20.0,0.0877967185944166,0.5,0.08779671859441662,0.35974589824302083,0.6316950778916248
ROK,429.69000244140625,0.310303897410172,0.3239584974117777,28.966797,31.409126318595263,24.670368925004595,35.22137075230695,459.3822979736328,415.72215057373046,-0.0646352627500044,0.0335990080114783,493.55963134765625,385.3442687988281,0.1486411797885836,-0.10320401543116,493.55963134765625,329.34442138671875,,,fwd_pe,0.3863439578770136,0.1225,0.1868974454681751,495.0,477.79166,0.1519932909481636,27.0,0.1868974454681751,0.08431478698163497,0.1868974454681751,0.236933948110023,0.2869704507518709
ROL,37.2599983215332,0.2684206082769894,0.2372961210690612,28.648975,45.89801597595215,42.91884604464756,50.20010943441945,40.99824043273926,52.83543220520019,-0.0911805499882105,-0.294791454022288,56.52085494995117,36.02000045776367,0.516931226410893,-0.0332796006341448,64.86321258544922,36.02000045776367,,,fwd_pe,0.1716847112331243,0.111999996,0.0776006747797228,45.0,45.58824,0.2077295230041305,19.0,0.0776006747797228,0.5,0.07760067477972288,0.34700084347465365,0.6164010121695842
RSG,223.0800018310547,0.190968737889666,0.1724005479534528,27.687588,28.15245427775176,26.11450569461912,30.96446643918714,215.00635223388673,213.36700569152833,0.0375507491443105,0.0455224841725001,224.5099945068359,202.3508148193359,0.0064102235253891,-0.0929226593220919,232.22369384765625,197.1544189453125,,,fwd_pe,0.1428425256833494,0.1073,0.0713199782168239,247.0,245.91667,0.1072260981379256,26.0,0.0713199782168239,0.016789699332125263,0.0713199782168239,0.08031354837820359,0.08930711853958329
RVTY,123.0,0.3845057310834034,0.3580771130864785,20.876259,40.53044710758227,25.76213153238971,48.46596632393295,111.57786087036132,100.62279029846192,0.1023692248671954,0.2223870917827264,124.75,83.78186798095703,0.0142276422764227,-0.3188466017808371,124.75,82.20845031738281,,,fwd_pe,1.8326251844260024,0.1014,0.0790733105244361,122.0,121.06667,-0.008130081300813,15.0,0.0790733105244361,0.5,0.07907331052443611,0.34884163815554503,0.6186099657866542
SBAC,185.07000732421875,0.3437128905701734,0.296170840948627,22.55172,38.81065385202007,25.66281849094358,59.040142398594256,182.41531341552735,190.6885782623291,0.014553021119692,-0.0294646432907004,190.9624938964844,183.32440185546875,0.0318392302321723,-0.0094321359467605,220.8818817138672,163.0330352783203,,,fwd_pe,-0.1147282335892784,0.063200004,-0.084907164294691,224.5,226.4,0.2130544719042724,10.0,-0.084907164294691,0.5,-0.08490716429469103,0.14386604463163621,0.37263925355796346
SBUX,107.48999786376952,0.2779529032628826,0.3286560524862091,34.50102,27.174380137305377,25.398854540835377,36.78788768107815,104.04691543579102,95.5719535446167,0.0330916338418825,0.124702319845215,107.93000030517578,93.60230255126952,0.0040934268318053,-0.1291998845334517,107.93000030517578,76.50759887695312,,,fwd_pe,0.8009017124711095,0.2027,0.2094230960884253,112.0,112.22581,0.0419574120928567,33.0,0.2094230960884253,-0.2123600943593732,0.20942309608842535,0.08100649468555376,-0.047410106717317935
SCHW,113.6500015258789,0.2502061531597463,0.2665772804542313,14.561999,20.730733563823083,19.38652065822056,23.097516700974275,101.66443481445312,96.16459632873536,0.1178934081844897,0.1818278853619921,113.6500015258789,90.6494369506836,0.0,-0.2023806798626212,113.6500015258789,85.10184478759766,,,fwd_pe,0.4215958262323738,0.2029,0.265930114754159,125.5,124.95,0.1042674730754207,22.0,0.265930114754159,0.4236186641561426,0.26593011475415906,0.5340659268177537,0.8022017388813483
