ticker,name,sector_wi26,target_price,upside_pct,n_tp_firms,rating,n_rating_firms,tp_chg_1w_pct,as_of
131290,티에스이,반도체,320000,54.59,4,4,4,-4.95,2026-08-07
443060,HD현대마린솔루션,조선,314727,60.25,11,4,11,0,2026-08-07
051900,LG생활건강,"화장품,의류,완구",311692,-6.54,13,3.62,13,2.15,2026-08-07
483650,달바글로벌,"화장품,의류,완구",303000,23.17,15,4,15,0.4,2026-08-07
010120,LS ELECTRIC,기계,300000,49.25,15,4,15,0,2026-08-07
097950,CJ제일제당,필수소비재,290769,42.19,13,4,13,0,2026-08-07
950160,코오롱티슈진,건강관리,280000,1485.5,1,3,1,0,2026-08-07
064350,현대로템,"상사,자본재",279059,89.97,17,4,17,-1.74,2026-08-07
068270,셀트리온,건강관리,275340,38.15,18,4,18,0,2026-08-07
322000,HD현대에너지솔루션,에너지,267500,109.31,2,4,2,0,2026-08-07
018260,삼성에스디에스,소프트웨어,258692,16.79,13,4,13,0,2026-08-07
298050,HS효성첨단소재,화학,250000,36.46,5,4,5,1.01,2026-08-07
192820,코스맥스,"화장품,의류,완구",247778,20.57,18,4,18,0.16,2026-08-07
033780,KT&G,필수소비재,240000,27.12,14,4,14,3.07,2026-08-07
183300,코미코,반도체,240000,341.18,1,4,1,40.41,2026-08-07
001040,CJ,"상사,자본재",239727,64.54,11,4,11,-0.82,2026-08-07
095340,ISC,반도체,232167,77.23,6,4,6,-4.3,2026-08-07
066570,LG전자,IT가전,230000,24.32,17,4,17,0,2026-08-07
105560,KB금융,은행,224889,27.92,18,4,18,0,2026-08-07
141080,리가켐바이오,건강관리,224000,97.88,5,4,5,0,2026-08-07
005830,DB손해보험,보험,218214,31.53,14,3.93,14,0,2026-08-07
000270,기아,자동차,217800,61.45,25,4,25,0,2026-08-07
004800,효성,"상사,자본재",215000,35.99,3,4,3,0,2026-08-07
058650,세아홀딩스,철강,214000,71.61,1,4,1,0,2026-08-07
023530,롯데쇼핑,소매(유통),213333,113.98,15,4,15,-5.19,2026-08-07
003670,포스코퓨처엠,화학,212353,36.3,17,3.76,17,-6.02,2026-08-07
298380,에이비엘바이오,건강관리,210000,142.49,2,4,2,0,2026-08-07
003030,세아제강지주,철강,205000,79.04,1,4,1,0,2026-08-07
267270,HD건설기계,기계,204667,48.2,6,4,6,0,2026-08-07
306200,세아제강,철강,204250,54.74,4,4,4,0,2026-08-07
069620,대웅제약,건강관리,202308,56.83,13,4,13,0,2026-08-07
052690,한전기술,유틸리티,200500,96.76,12,4,12,0,2026-08-07
353200,대덕전자,IT하드웨어,198333,91.07,12,4.08,12,-7.03,2026-08-07
000990,DB하이텍,반도체,196000,133.06,3,4,3,0,2026-08-07
095610,테스,반도체,195889,57.21,9,4,9,-0.18,2026-08-07
069960,현대백화점,소매(유통),195353,91.9,17,4,17,-12.59,2026-08-07
031980,피에스케이홀딩스,반도체,191600,103.83,5,4,5,0,2026-08-07
078600,대주전자재료,IT하드웨어,191500,117.12,2,4,2,0,2026-08-07
047810,한국항공우주,"상사,자본재",190526,23.56,19,3.95,19,0,2026-08-07
036930,주성엔지니어링,반도체,190000,48.67,1,3,1,0,2026-08-07
131970,두산테스나,반도체,187500,194.35,6,3.83,6,0,2026-08-07
006280,녹십자,건강관리,186923,43.9,13,4,13,-4.52,2026-08-07
066970,엘앤에프,IT가전,185571,105.73,14,3.93,14,-23.12,2026-08-07
247540,에코프로비엠,IT가전,185125,73.01,16,3.81,16,-21.56,2026-08-07
237690,에스티팜,건강관리,184786,84.6,14,4,14,0,2026-08-07
282330,BGF리테일,소매(유통),184250,20.35,16,4,16,6.05,2026-08-07
319660,피에스케이,반도체,182857,54.44,7,4,7,0,2026-08-07
420770,기가비스,반도체,182500,65.46,4,4,4,0,2026-08-07
096770,SK이노베이션,에너지,179714,49.39,14,3.93,15,-1.67,2026-08-07
271560,오리온,필수소비재,178615,29.81,13,4,13,0,2026-08-07
007660,이수페타시스,반도체,177917,116.18,12,4,12,0,2026-08-07
090430,아모레퍼시픽,"화장품,의류,완구",177235,24.99,17,3.94,17,0.67,2026-08-07
126340,비나텍,기계,177000,165.37,1,4,1,0,2026-08-07
011780,금호석유화학,화학,175750,35.61,12,3.92,12,-0.19,2026-08-07
000720,현대건설,"건설,건축관련",174450,58.74,20,3.95,20,-11.5,2026-08-07
006650,대한유화,화학,172000,83.57,5,4,5,-5.75,2026-08-07
222800,심텍,IT하드웨어,171111,55.56,9,4,9,-0.08,2026-08-07
086790,하나금융지주,은행,164737,22.3,19,4,19,0,2026-08-07
010950,S-Oil,에너지,164412,19.49,17,3.94,17,3.4,2026-08-07
280360,롯데웰푸드,필수소비재,163182,39.59,11,4,11,0,2026-08-07
099320,쎄트렉아이,"상사,자본재",160000,113.9,1,4,1,0,2026-08-07
004690,삼천리,유틸리티,160000,33.22,1,4,1,0,2026-08-07
000880,한화,"상사,자본재",159200,89.98,10,4,10,-1.17,2026-08-07
388210,씨엠티엑스,반도체,158333,114.84,3,4,3,-21.1,2026-08-07
084370,유진테크,반도체,156667,40.89,3,4,3,0,2026-08-07
007810,코리아써키트,IT하드웨어,156667,181.27,3,4,3,0,2026-08-07
240810,원익IPS,반도체,154714,75.21,7,3.86,7,-12.51,2026-08-07
016360,삼성증권,증권,153556,68.74,18,3.89,18,-7.28,2026-08-07
456040,OCI,화학,149333,92.94,3,4,3,0,2026-08-07
005300,롯데칠성,필수소비재,148333,44.57,12,3.92,12,-4.86,2026-08-07
138040,메리츠금융지주,증권,148250,17.38,4,3.75,4,0,2026-08-07
017940,E1,유틸리티,145000,66.67,1,4,1,0,2026-08-07
454910,두산로보틱스,기계,145000,105.09,1,4,1,0,2026-08-07
000640,동아쏘시오홀딩스,건강관리,145000,62.92,3,4,3,-1.7,2026-08-07
189300,인텔리안테크,IT하드웨어,142000,101.13,5,4,5,-4.27,2026-08-07
326030,SK바이오팜,건강관리,141765,66,17,4,17,-1.67,2026-08-07
042660,한화오션,조선,141050,57.77,20,4,20,0,2026-08-07
003550,LG,"상사,자본재",140692,30.15,13,4,13,0,2026-08-07
055550,신한지주,은행,137000,24.55,18,4,18,0,2026-08-07
058470,리노공업,반도체,136000,107,5,4,5,0,2026-08-07
161890,한국콜마,"화장품,의류,완구",134526,26.08,19,4,19,1.51,2026-08-07
021240,코웨이,"화장품,의류,완구",132500,38.45,2,4,2,0,2026-08-07
171090,선익시스템,디스플레이,131000,93.79,3,4,3,0,2026-08-07
058610,에스피지,IT가전,130000,27.83,2,4,2,0,2026-08-07
376270,HEM파마,건강관리,130000,208.79,1,4,1,0,2026-08-07
071320,지역난방공사,유틸리티,130000,101.55,2,4,2,0,2026-08-07
440110,파두,반도체,130000,127.67,1,4,1,0,2026-08-07
034020,두산에너빌리티,기계,129375,67.8,16,4,16,0,2026-08-07
281820,케이씨텍,반도체,127000,114.17,1,4,1,0,2026-08-07
000120,CJ대한통운,운송,122300,54.81,10,4,10,0,2026-08-07
111770,영원무역,"화장품,의류,완구",122000,30.62,10,4,10,0,2026-08-07
000100,유한양행,건강관리,121071,50.21,14,4,14,-0.88,2026-08-07
491000,리브스메드,건강관리,120000,159.74,1,4,1,0,2026-08-07
086900,메디톡스,건강관리,120000,50.38,1,3.5,2,0,2026-08-07
354320,알멕,자동차,120000,322.54,1,4,1,0,2026-08-07
017670,SK텔레콤,통신서비스,119368,35.34,19,3.89,19,1.66,2026-08-07
011170,롯데케미칼,화학,119250,95.49,12,3.75,12,-1.95,2026-08-07
089970,브이엠,반도체,118750,96.28,4,4,4,-3.72,2026-08-07
139480,이마트,소매(유통),118500,45.22,10,4,10,0,2026-08-07
241710,코스메카코리아,"화장품,의류,완구",117500,22.52,10,4,10,0,2026-08-07
103590,일진전기,기계,112667,93.25,3,4,3,0,2026-08-07
041510,에스엠,"미디어,교육",111867,47.97,15,4,15,-5.33,2026-08-07
071970,HD현대마린엔진,조선,111200,101.45,5,4,5,0,2026-08-07
025540,한국단자,자동차,110000,75.44,1,4,1,0,2026-08-07
121600,나노신소재,화학,110000,130.85,1,4,1,0,2026-08-07
083650,비에이치아이,에너지,110000,120.44,3,4,3,0,2026-08-07
272210,한화시스템,"상사,자본재",109429,54.78,14,3.87,15,-1.35,2026-08-07
011790,SKC,화학,109333,34.65,3,3.33,3,-2.38,2026-08-07
120110,코오롱인더,화학,108750,85.58,4,4,4,0,2026-08-07
103140,풍산,"비철,목재등",108000,29.19,12,4,12,-3.16,2026-08-07
439260,대한조선,조선,107375,118.46,4,4,4,-9.54,2026-08-07
078930,GS,에너지,103000,4.15,5,4,5,0,2026-08-07
295310,에이치브이엠,"비철,목재등",102000,103.19,1,4,1,0,2026-08-07
185750,종근당,건강관리,101111,43.42,9,4,9,1.11,2026-08-07
397030,에이프릴바이오,건강관리,101000,265.94,2,4,2,0,2026-08-07
218410,RFHIC,IT하드웨어,101000,108.46,3,4,3,-19.36,2026-08-07
002020,코오롱,"상사,자본재",100000,288.35,1,4,1,0,2026-08-07
009450,경동나비엔,"화장품,의류,완구",99500,36.3,2,4,2,0,2026-08-07
383220,F&F,"화장품,의류,완구",99125,47.95,8,4,8,0.33,2026-08-07
348210,넥스틴,반도체,98333,216.69,3,4,3,0,2026-08-07
064400,LG씨엔에스,소프트웨어,98300,35.4,10,4,10,0,2026-08-07
389650,넥스트바이오메디컬,건강관리,97000,142.2,2,4,2,0,2026-08-07
107640,한중엔시에스,기계,97000,184.04,1,4,1,0,2026-08-07
489790,한화비전,IT하드웨어,96000,96.32,3,4,3,-6.49,2026-08-07
017800,현대엘리베이터,기계,95000,31.03,1,4,1,0,2026-08-07
375500,DL이앤씨,"건설,건축관련",93421,29.75,19,4,19,0,2026-08-07
012750,에스원,"상사,자본재",93000,21.41,3,4,3,-1.06,2026-08-07
241560,두산밥캣,기계,92214,44.99,7,4,7,0,2026-08-07
005850,에스엘,자동차,92000,66.67,7,4,7,0,2026-08-07
082740,한화엔진,조선,90571,113.11,7,4,7,-6.47,2026-08-07
047050,포스코인터내셔널,"상사,자본재",89692,54.64,13,4,13,0,2026-08-07
014830,유니드,화학,89000,44.01,7,4,7,0.19,2026-08-07
161390,한국타이어앤테크놀로지,자동차,87750,24.47,16,4,16,0,2026-08-07
041830,인바디,건강관리,87500,23.59,2,4,3,17.45,2026-08-07
011210,현대위아,자동차,87267,39.63,15,3.88,16,0,2026-08-07
166090,하나머티리얼즈,반도체,87000,62.31,3,4,3,-7.94,2026-08-07
043260,성호전자,IT가전,85000,393.9,2,4.5,2,0,2026-08-07
365340,성일하이텍,IT가전,84000,150.37,2,4,2,0,2026-08-07
192080,더블유게임즈,소프트웨어,83846,34.59,13,4,13,0,2026-08-07
036530,SNT홀딩스,자동차,83000,72.56,1,4,1,0,2026-08-07
000210,DL,화학,82000,61.1,2,4,2,0,2026-08-07
005090,SGC에너지,에너지,81667,51.24,3,4,3,0,2026-08-07
195870,해성디에스,반도체,80667,52.78,9,4,9,-2.76,2026-08-07
061090,세나테크놀로지,IT하드웨어,80000,83.07,1,4,1,0,2026-08-07
285130,SK케미칼,화학,80000,83.28,2,4,2,0,2026-08-07
009420,한올바이오파마,건강관리,79714,47.35,7,3.71,7,0,2026-08-07
035900,JYP Ent.,"미디어,교육",78722,68.21,18,4,18,0,2026-08-07
003570,SNT다이내믹스,자동차,77000,140.63,1,4,1,0,2026-08-07
112610,씨에스윈드,에너지,76286,73.97,7,4,7,-2.06,2026-08-07
475960,토모큐브,건강관리,76000,105.41,1,4,1,0,2026-08-07
064290,인텍플러스,반도체,76000,157.63,2,4,2,0,2026-08-07
077970,STX엔진,조선,75500,179.11,2,4,2,-3.21,2026-08-07
389500,에스비비테크,기계,75000,123.88,1,4,1,-6.83,2026-08-07
030200,KT,통신서비스,74833,40.4,18,4,18,0,2026-08-07
229640,LS에코에너지,기계,74667,64.28,6,4,6,-8.05,2026-08-07
236200,슈프리마,IT하드웨어,74000,18.02,1,4,1,17.46,2026-08-07
145720,덴티움,건강관리,73600,77.78,5,4,5,0,2026-08-07
330860,네패스아크,반도체,73500,201.85,2,4,2,0,2026-08-07
178320,서진시스템,기계,72250,111.88,2,4,2,0,2026-08-07
214150,클래시스,건강관리,71000,54.68,16,4,16,0,2026-08-07
499790,GS피앤엘,"호텔,레저서비스",71000,61.36,5,4,5,1.67,2026-08-07
032500,케이엠더블유,IT하드웨어,70000,322.71,1,4,1,40,2026-08-07
215000,골프존,"호텔,레저서비스",70000,89.96,1,4,1,0,2026-08-07
008770,호텔신라,소매(유통),69846,63.57,13,4,13,-4.76,2026-08-07
204320,HL만도,자동차,69136,36.1,22,3.95,22,-0.16,2026-08-07
051600,한전KPS,유틸리티,69091,46.22,11,4,11,0,2026-08-07
263750,펄어비스,소프트웨어,68750,93.12,8,3.88,8,0,2026-08-07
079900,전진건설로봇,기계,68500,108.21,2,4,2,0,2026-08-07
020150,롯데에너지머티리얼즈,IT하드웨어,68100,122.55,11,3.91,11,-16.96,2026-08-07
403870,HPSP,반도체,68000,97.67,6,4,6,0,2026-08-07
028050,삼성E&A,"건설,건축관련",67069,39.44,21,4,21,0,2026-08-07
029780,삼성카드,은행,66500,38.98,4,4,4,0,2026-08-07
102710,이엔에프테크놀로지,반도체,66000,45.06,2,4,2,0,2026-08-07
006800,미래에셋증권,증권,65313,92.66,16,3.71,17,0,2026-08-07
304360,에스바이오메딕스,건강관리,65000,236.79,1,4,1,0,2026-08-07
083450,GST,반도체,65000,33.75,1,4,1,,2026-08-07
073490,LIG아큐버,IT하드웨어,65000,108,2,4,2,0,2026-08-07
327260,RF머트리얼즈,"상사,자본재",64500,85.08,2,4,2,0,2026-08-07
356860,티엘비,반도체,64352,129.01,8,4,8,0,2026-08-07
122870,와이지엔터테인먼트,"미디어,교육",64316,54.79,19,4,19,0,2026-08-07
458870,씨어스,건강관리,64250,179.35,4,4,4,0,2026-08-07
004000,롯데정밀화학,화학,64167,32.17,6,4,6,0,2026-08-07
104830,원익머트리얼즈,화학,63500,93.3,2,4,2,0,2026-08-07
052400,코나아이,소프트웨어,63500,53.38,2,4,2,0.79,2026-08-07
195940,HK이노엔,건강관리,62857,51.1,14,4,14,-0.79,2026-08-07
067310,하나마이크론,반도체,62000,106.67,4,4,4,0,2026-08-07
033240,자화전자,IT하드웨어,62000,146.52,1,4,1,0,2026-08-07
200710,에이디테크놀로지,반도체,61250,105.19,2,4,2,0,2026-08-07
213420,덕산네오룩스,디스플레이,61214,82.73,7,4,7,-4.57,2026-08-07
100840,SNT에너지,에너지,61000,119.03,2,4,2,0,2026-08-07
081660,미스토홀딩스,"화장품,의류,완구",60222,29.23,9,4,9,0,2026-08-07
389020,자람테크놀로지,IT하드웨어,60000,192.68,1,4,1,0,2026-08-07
170920,엘티씨,반도체,60000,68.78,1,4,1,0,2026-08-07
456010,아이씨티케이,IT하드웨어,60000,296.04,1,4,1,0,2026-08-07
007340,DN오토모티브,자동차,60000,26.05,1,4,1,0,2026-08-07
215200,메가스터디교육,"미디어,교육",60000,45.81,2,4,2,0,2026-08-07
138080,오이솔루션,IT하드웨어,60000,125.99,1,4,1,0,2026-08-07
251970,펌텍코리아,"비철,목재등",59750,20.71,4,4,4,0,2026-08-07
035720,카카오,소프트웨어,59375,48.81,16,4,16,-5.85,2026-08-07
377300,카카오페이,소프트웨어,58667,39.68,3,3.4,5,-31.78,2026-08-07
067160,SOOP,소프트웨어,58500,35.1,4,3.6,5,-20.23,2026-08-07
336260,두산퓨얼셀,에너지,58167,90.4,6,3.67,6,-3.74,2026-08-07
060980,HL홀딩스,자동차,57667,47.49,3,4,3,0,2026-08-07
001120,LX인터내셔널,"상사,자본재",57333,51.68,6,4,6,-7.53,2026-08-07
475150,SK이터닉스,에너지,57250,13.37,4,4,4,0,2026-08-07
251270,넷마블,소프트웨어,56938,39.21,16,4,16,-7.92,2026-08-07
170900,동아에스티,건강관리,56667,48.15,3,4,3,0,2026-08-07
001430,세아베스틸지주,철강,56290,35.31,10,4,10,0,2026-08-07
031210,서울보증보험,보험,56000,26.13,1,4,1,0,2026-08-07
257720,실리콘투,소매(유통),55500,41.22,8,4,8,0,2026-08-07
015760,한국전력,유틸리티,55133,54.87,15,4,15,0,2026-08-07
042520,한스바이오메드,건강관리,55000,154.04,1,4,1,0,2026-08-07
