code,name,market,wics,trade_date,close,mktcap_억,per,eps,cns_per,cns_eps,pbr,bps,foreign_pct,hi52,lo52,error
010120,LS ELECTRIC,KOSPI,전기장비,2026-08-28,214500.0,321750,82.75,2592.0,59.78,3588.0,14.98,14317.0,18.72,920000.0,146500.0,
298040,효성중공업,KOSPI,전기장비,2026-08-28,3153000.0,294003,50.25,62744.0,37.62,83816.0,11.35,277856.0,27.49,4865000.0,1185000.0,
267260,HD현대일렉트릭,KOSPI,전기장비,2026-08-28,814000.0,293424,34.49,23602.0,30.79,26440.0,12.99,62651.0,34.57,1449000.0,484000.0,
006260,LS,KOSPI,전기장비,2026-08-28,313000.0,97656,23.11,13543.0,15.04,20817.0,1.62,193319.0,16.74,604000.0,161200.0,
277810,레인보우로보틱스,KOSDAQ,기계,2026-08-28,456000.0,88463,7125.0,64.0,,,66.56,6851.0,5.63,979000.0,266500.0,
267270,HD건설기계,KOSPI,기계,2026-08-28,136600.0,65461,10.55,12944.0,11.11,12291.0,1.33,102911.0,16.3,227000.0,85000.0,
062040,산일전기,KOSPI,전기장비,2026-08-28,202500.0,62052,34.27,5909.0,29.03,6975.0,9.33,21710.0,17.51,348500.0,101700.0,
000500,가온전선,KOSPI,전기장비,2026-08-28,204000.0,60746,94.49,2159.0,,,11.46,17807.0,2.02,635000.0,52600.0,
241560,두산밥캣,KOSPI,기계,2026-08-28,63100.0,60485,12.14,5197.0,10.75,5868.0,0.77,82108.0,39.13,81600.0,51900.0,
001440,대한전선,KOSPI,전기장비,2026-08-28,29700.0,58210,,-82.0,60.74,489.0,3.08,9634.0,12.16,75900.0,14740.0,
454910,두산로보틱스,KOSPI,기계,2026-08-28,71600.0,46411,,-794.0,,,14.1,5079.0,5.3,170000.0,54200.0,
108490,로보티즈,KOSDAQ,기계,2026-08-28,242000.0,35480,,-266.0,-2420.0,-100.0,9.94,24350.0,4.9,492000.0,86400.0,
103590,일진전기,KOSPI,전기장비,2026-08-28,72600.0,34620,24.62,2949.0,19.08,3805.0,5.29,13721.0,10.96,154800.0,33500.0,
017800,현대엘리베이터,KOSPI,기계,2026-08-28,75600.0,29554,8.04,9398.0,,,2.52,30029.0,22.16,114300.0,61800.0,
319400,현대무벡스,KOSDAQ,기계,2026-08-28,23750.0,26452,151.27,157.0,,,15.87,1497.0,1.85,50400.0,4655.0,
178320,서진시스템,KOSDAQ,전기장비,2026-08-28,38950.0,24792,,-1425.0,-671.55,-58.0,2.51,15499.0,14.83,83300.0,18750.0,
229640,LS에코에너지,KOSPI,전기장비,2026-08-28,45900.0,14057,31.72,1447.0,26.02,1764.0,5.6,8202.0,6.85,109800.0,32000.0,
006340,대원전선,KOSPI,전기장비,2026-08-28,13610.0,10672,85.6,159.0,,,7.53,1807.0,2.91,20300.0,2765.0,
329180,HD현대중공업,KOSPI,조선,2026-08-28,457000.0,479673,17.83,25631.0,14.82,30839.0,4.55,100473.0,14.05,768000.0,344500.0,
042660,한화오션,KOSPI,조선,2026-08-28,88500.0,271176,13.07,6770.0,13.77,6425.0,3.6,24558.0,10.38,154800.0,71300.0,
009540,HD한국조선해양,KOSPI,조선,2026-08-28,354500.0,250891,7.28,48724.0,6.46,54893.0,1.69,209715.0,33.21,494500.0,314000.0,
010140,삼성중공업,KOSPI,조선,2026-08-28,21200.0,186560,33.02,642.0,19.89,1066.0,3.8,5586.0,28.95,35900.0,18440.0,
267250,HD현대,KOSPI,조선,2026-08-28,218000.0,172205,6.3,34618.0,4.38,49734.0,1.26,173040.0,26.8,336000.0,134700.0,
443060,HD현대마린솔루션,KOSPI,조선,2026-08-28,221000.0,99082,29.63,7459.0,28.12,7859.0,11.11,19898.0,30.4,290500.0,158000.0,
082740,한화엔진,KOSPI,조선,2026-08-28,48250.0,40263,18.39,2623.0,20.26,2381.0,6.2,7788.0,15.58,94400.0,35800.0,
439260,대한조선,KOSPI,조선,2026-08-28,49000.0,18663,6.18,7925.0,6.17,7937.0,1.56,31476.0,1.89,109900.0,42100.0,
071970,HD현대마린엔진,KOSPI,조선,2026-08-28,53100.0,18012,9.25,5740.0,13.93,3811.0,3.45,15390.0,13.25,118200.0,46150.0,
017960,한국카본,KOSPI,조선,2026-08-28,24950.0,12893,12.61,1978.0,10.91,2286.0,1.91,13032.0,13.28,54100.0,18400.0,
077970,STX엔진,KOSPI,조선,2026-08-28,25300.0,10157,15.04,1682.0,,,2.65,9540.0,4.67,67700.0,18830.0,
028260,삼성물산,KOSPI,복합기업,2026-08-28,375000.0,608128,22.7,16520.0,22.68,16532.0,0.58,645052.0,30.87,566000.0,165000.0,
012450,한화에어로스페이스,KOSPI,우주항공과국방,2026-08-28,1157000.0,596589,28.85,40099.0,25.83,44794.0,4.96,233220.0,45.56,1713000.0,783000.0,
000150,두산,KOSPI,복합기업,2026-08-28,1238000.0,200480,71.38,17343.0,54.57,22687.0,8.48,145939.0,20.37,2489000.0,522000.0,
003550,LG,KOSPI,복합기업,2026-08-28,116300.0,175836,24.16,4813.0,15.26,7622.0,0.58,201266.0,37.24,185900.0,70000.0,
079550,LIG디펜스앤에어로스페이스,KOSPI,우주항공과국방,2026-08-28,734000.0,161480,56.37,13022.0,44.85,16364.0,10.05,73022.0,27.34,1118000.0,360000.0,
064350,현대로템,KOSPI,우주항공과국방,2026-08-28,139100.0,151817,18.8,7400.0,16.96,8202.0,4.46,31211.0,39.54,282000.0,113100.0,
272210,한화시스템,KOSPI,우주항공과국방,2026-08-28,75800.0,143201,77.03,984.0,102.85,737.0,3.15,24026.0,10.59,184000.0,44750.0,
047810,한국항공우주,KOSPI,우주항공과국방,2026-08-28,133100.0,129739,73.17,1819.0,53.78,2475.0,6.83,19491.0,23.66,215500.0,93100.0,
047050,포스코인터내셔널,KOSPI,무역회사와판매업체,2026-08-28,52700.0,92711,11.19,4709.0,10.08,5227.0,1.28,41034.0,7.85,92100.0,44850.0,
000880,한화,KOSPI,복합기업,2026-08-28,134900.0,71941,15.68,8601.0,7.13,18931.0,0.89,151529.0,20.66,166400.0,77700.0,
001040,CJ,KOSPI,복합기업,2026-08-28,130500.0,38076,99.09,1317.0,13.24,9858.0,0.8,162243.0,18.07,235000.0,116900.0,
012750,에스원,KOSPI,상업서비스와공급품,2026-08-28,83500.0,31729,20.77,4020.0,18.73,4457.0,1.64,50837.0,55.8,107000.0,66800.0,
004800,효성,KOSPI,복합기업,2026-08-28,171600.0,28727,6.22,27590.0,7.26,23635.0,1.07,160952.0,21.55,328000.0,82000.0,
004990,롯데지주,KOSPI,복합기업,2026-08-28,24150.0,24069,,-3837.0,29.34,823.0,0.29,83300.0,10.1,41250.0,21150.0,
005440,현대지에프홀딩스,KOSPI,복합기업,2026-08-28,11860.0,21751,5.25,2259.0,5.98,1984.0,0.35,34266.0,9.88,19900.0,7280.0,
032820,우리기술,KOSDAQ,우주항공과국방,2026-08-28,12510.0,21615,,-40.0,,,12.96,965.0,6.52,30200.0,3540.0,
000155,두산우,KOSPI,복합기업,2026-08-28,440000.0,17584,25.37,17343.0,19.39,22687.0,3.01,145939.0,9.69,840000.0,321000.0,
298020,효성티앤씨,KOSPI,무역회사와판매업체,2026-08-28,346000.0,14974,13.3,26006.0,5.6,61734.0,0.85,407689.0,21.22,557000.0,199000.0,
001120,LX인터내셔널,KOSPI,무역회사와판매업체,2026-08-28,38600.0,14961,12.5,3088.0,5.51,7001.0,0.47,82641.0,26.48,57700.0,29000.0,
001740,SK네트웍스,KOSPI,복합기업,2026-08-28,6690.0,13420,12.16,550.0,11.78,568.0,0.62,10871.0,18.03,16240.0,4275.0,
347700,스피어,KOSDAQ,우주항공과국방,2026-08-28,22250.0,11470,25.31,879.0,,,10.32,2155.0,8.72,57300.0,7050.0,
0220W0,한화머시너리앤서비스홀딩스,KOSPI,복합기업,2026-08-28,7440.0,6288,,,,,,,19.38,13000.0,7140.0,
011200,HMM,KOSPI,해운사,2026-08-28,21700.0,204683,14.58,1488.0,11.03,1968.0,0.71,30457.0,8.57,27000.0,17910.0,
086280,현대글로비스,KOSPI,항공화물운송과물류,2026-08-28,205000.0,153750,9.98,20548.0,9.24,22193.0,1.41,145224.0,46.52,303500.0,156000.0,
003490,대한항공,KOSPI,항공사,2026-08-28,28700.0,105679,,-693.0,31.57,909.0,1.01,28464.0,46.93,31200.0,21000.0,
180640,한진칼,KOSPI,항공사,2026-08-28,131300.0,87659,,-453.0,,,2.64,49695.0,18.83,175900.0,93100.0,
088980,맥쿼리인프라,KOSPI,,2026-08-28,9960.0,47701,,,,,,,8.84,11890.0,9320.0,
028670,팬오션,KOSPI,해운사,2026-08-28,5790.0,30952,9.15,633.0,6.58,880.0,0.49,11826.0,17.46,6600.0,3485.0,
089860,롯데렌탈,KOSPI,도로와철도운송,2026-08-28,47700.0,17320,14.62,3262.0,12.53,3806.0,1.1,43521.0,6.44,48750.0,26650.0,
000120,CJ대한통운,KOSPI,항공화물운송과물류,2026-08-28,74700.0,17041,7.64,9773.0,8.19,9119.0,0.36,209877.0,15.75,165500.0,69400.0,
020560,아시아나항공,KOSPI,항공사,2026-08-28,7680.0,15820,,-5754.0,,,11.93,644.0,7.25,9620.0,6500.0,
415640,KB발해인프라,KOSPI,,2026-08-28,10450.0,12806,,,,,,,1.41,11380.0,8500.0,
005380,현대차,KOSPI,자동차,2026-08-28,399500.0,818007,13.01,30697.0,10.57,37779.0,0.86,467197.0,24.25,787000.0,211000.0,
000270,기아,KOSPI,자동차,2026-08-28,128000.0,499729,7.11,18004.0,5.85,21895.0,0.77,166439.0,39.23,212500.0,98400.0,
012330,현대모비스,KOSPI,자동차부품,2026-08-28,450500.0,404642,11.3,39873.0,9.85,45734.0,0.77,583823.0,37.77,822000.0,283000.0,
161390,한국타이어앤테크놀로지,KOSPI,자동차부품,2026-08-28,66400.0,82253,6.78,9792.0,6.4,10383.0,0.6,109979.0,39.29,78400.0,37650.0,
005387,현대차2우B,KOSPI,자동차,2026-08-28,192400.0,67271,6.27,30697.0,5.09,37779.0,0.41,467197.0,54.54,332000.0,164500.0,
005385,현대차우,KOSPI,자동차,2026-08-28,192400.0,44908,6.27,30697.0,5.09,37779.0,0.41,467197.0,56.51,329000.0,162100.0,
018880,한온시스템,KOSPI,자동차부품,2026-08-28,3490.0,35817,,-6.0,14.02,249.0,0.87,4008.0,6.87,5940.0,2755.0,
007340,DN오토모티브,KOSPI,자동차부품,2026-08-28,47200.0,27617,7.12,6628.0,,,1.02,46067.0,6.03,68000.0,21550.0,
005850,에스엘,KOSPI,자동차부품,2026-08-28,52400.0,24339,6.38,8208.0,6.64,7892.0,0.89,58754.0,15.93,80800.0,32650.0,
