순위,종목명,종목코드,시장,업종(WICS),저장소폴더,종가,시가총액(억),후행PER,선행PER(26E),PBR,2026E EPS,2026E BPS,2026E DPS,업종중앙PER,목표가,상방(%),비고
177,실리콘투,257720,KOSDAQ,인터넷과카탈로그소매,14_소매유통,40050,26263,15.35,11.58,5.74,3457,10125,341,10.8,37197,-7.1,
178,BGF리테일,282330,KOSPI,백화점과일반상점,14_소매유통,150500,26012,13.32,11.09,1.98,13575,85281,4363,10.8,146067,-2.9,
179,코리안리,003690,KOSPI,손해보험,19_보험,14710,25996,8.9,,0.71,,,653,13.8,,,2026E EPS 없음·적자
180,한화비전,489790,KOSPI,통신장비,21_IT하드웨어,51000,25749,56.48,13.46,2.97,3790,21052,,26.3,99563,95.2,
181,F&F,383220,KOSPI,"섬유,의류,신발,호화품",11_화장품의류완구,67000,25666,6.44,5.28,1.34,12701,60322,2718,15.8,,,선행PER이 업종 중앙 대비 0.3배 — 배수 접근 부적합
182,영원무역홀딩스,009970,KOSPI,"섬유,의류,신발,호화품",11_화장품의류완구,197000,25519,7.26,,0.76,,,,15.8,,,2026E EPS 없음·적자
183,신영증권,001720,KOSPI,증권,18_증권,155100,25498,17.09,,0.61,,,,5.9,,,2026E EPS 없음·적자
184,한국콜마,161890,KOSPI,화장품,11_화장품의류완구,107900,25470,20.36,14.6,2.8,7389,45161,950,15.8,116525,8.0,
185,HL만도,204320,KOSPI,자동차부품,10_자동차,54100,25404,25.39,12.55,0.94,4309,60319,825,10.6,45675,-15.6,
186,에스피지,058610,KOSDAQ,전기제품,06_기계,114000,25282,276.81,142.03,9.8,803,12376,250,40.2,,,선행PER이 업종 중앙 대비 3.5배 — 배수 접근 부적합
187,한솔케미칼,014680,KOSPI,화학,02_화학,233500,25204,17.97,15.17,2.35,15391,110882,2720,23.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
188,롯데케미칼,011170,KOSPI,화학,02_화학,58100,24853,,,0.19,-5658,292079,1000,23.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
189,솔브레인,357780,KOSDAQ,반도체와반도체장비,22_반도체,314000,24425,30.89,16.62,2.28,18895,155612,2596,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
190,서진시스템,178320,KOSDAQ,전기장비,06_기계,38300,24378,,278.8,2.92,137,10609,,40.2,,,선행PER이 업종 중앙 대비 6.9배 — 배수 접근 부적합
191,농심,004370,KOSPI,식품,15_필수소비재,395500,24057,14.14,12.3,0.82,32143,516056,6042,9.5,304716,-23.0,
192,코스맥스,192820,KOSPI,화장품,11_화장품의류완구,210000,23834,19.37,15.72,4.27,13356,58864,3535,15.8,210624,0.3,
193,한국앤컴퍼니,000240,KOSPI,자동차부품,10_자동차,25000,23734,6.84,,0.5,,,,10.6,,,2026E EPS 없음·적자
194,롯데지주,004990,KOSPI,복합기업,08_상사자본재,23650,23570,,26.37,0.3,897,81200,1312,13.5,12118,-48.8,
195,피에스케이홀딩스,031980,KOSDAQ,반도체와반도체장비,22_반도체,109100,23525,25.66,17.31,4.65,6303,28537,1120,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
196,미래에셋생명,085620,KOSPI,생명보험,19_보험,17390,23508,26.35,23.39,0.93,744,,,13.8,10267,-41.0,
197,풍산,103140,KOSPI,비철금속,03_비철목재등,83500,23400,15.9,7.87,0.99,10612,93203,2331,14.1,,,사이클 — 정점 EPS에 정상 배수 적용 불가
198,하나마이크론,067310,KOSDAQ,반도체와반도체장비,22_반도체,35000,23272,60.88,14.34,5.83,2440,8578,105,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
199,두산퓨얼셀,336260,KOSPI,에너지장비및서비스,01_에너지,35500,23250,,,7.91,-1099,3420,,10.2,,,사이클 — 정점 EPS에 정상 배수 적용 불가
200,미스토홀딩스,081660,KOSPI,"섬유,의류,신발,호화품",11_화장품의류완구,43700,23201,11.67,8.48,1.2,5155,39905,2228,15.8,81294,86.0,
201,펄어비스,263750,KOSDAQ,게임엔터테인먼트,20_소프트웨어,36900,23189,,6.51,2.84,5667,19112,,15.3,86875,135.4,
202,GS리테일,007070,KOSPI,백화점과일반상점,14_소매유통,27550,23034,53.03,10.26,0.7,2685,41697,692,10.8,28891,4.9,
203,케이뱅크,279570,KOSPI,은행,17_은행,5570,22597,18.58,19.11,0.96,291,6157,,8.0,2313,-58.5,
204,에스티팜,237690,KOSDAQ,제약,16_건강관리,108000,22547,39.92,32.81,3.77,3291,31655,500,25.1,82440,-23.7,
205,티씨케이,064760,KOSDAQ,반도체와반도체장비,22_반도체,200500,22415,33.44,20.76,4.32,9659,54489,1892,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
206,고영,098460,KOSDAQ,전자장비와기기,21_IT하드웨어,32800,22371,152.61,38.14,6.46,860,5768,140,26.3,22592,-31.1,
207,이마트,139480,KOSPI,백화점과일반상점,14_소매유통,80600,22242,16.38,17.65,0.2,4566,407094,2700,10.8,49130,-39.0,
208,SK가스,018670,KOSPI,가스유틸리티,26_유틸리티,238500,22079,9.37,4.79,0.73,49841,408849,11000,4.8,238738,0.1,
209,동진쎄미켐,005290,KOSDAQ,반도체와반도체장비,22_반도체,43000,21917,22.32,,2.04,,,,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
210,제일기획,030000,KOSPI,광고,13_미디어교육,19050,21915,10.56,9.8,1.23,1943,16137,1268,13.4,26085,36.9,
211,현대백화점,069960,KOSPI,백화점과일반상점,14_소매유통,101300,21845,11.04,7.97,0.48,12705,223888,2178,10.8,136706,35.0,
212,현대지에프홀딩스,005440,KOSPI,복합기업,08_상사자본재,11860,21751,4.49,6.63,0.46,1788,23753,448,13.5,24156,103.7,
213,금호타이어,073240,KOSPI,자동차부품,10_자동차,7520,21602,6.22,5.31,1.06,1417,8677,,10.6,15020,99.7,
214,대한광통신,010170,KOSDAQ,통신장비,21_IT하드웨어,13450,20913,,,27.4,-21,,,26.3,,,2026E EPS 없음·적자
215,아모레퍼시픽홀딩스,002790,KOSPI,화장품,11_화장품의류완구,27000,20644,20.32,,0.7,,,,15.8,,,2026E EPS 없음·적자
216,한전KPS,051600,KOSPI,전기유틸리티,26_유틸리티,45700,20565,16.55,13.65,1.53,3348,31301,2020,4.8,,,선행PER이 업종 중앙 대비 2.8배 — 배수 접근 부적합
217,셀트리온제약,068760,KOSDAQ,제약,16_건강관리,46100,20469,53.0,,4.68,,,,25.1,,,2026E EPS 없음·적자
218,파크시스템스,140860,KOSDAQ,전자장비와기기,21_IT하드웨어,283500,19852,57.5,39.46,8.75,7185,42790,604,26.3,188750,-33.4,
219,이수스페셜티케미컬,457190,KOSPI,화학,02_화학,65500,19793,2571.26,,14.89,,,,23.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
220,우리기술,032820,KOSDAQ,우주항공과국방,06_기계,11450,19784,2386.55,,15.17,,,,40.2,,,2026E EPS 없음·적자
221,시프트업,462870,KOSPI,게임엔터테인먼트,20_소프트웨어,33650,19767,10.32,15.13,2.12,2225,18305,,15.3,34109,1.4,
222,메지온,140410,KOSDAQ,식품,15_필수소비재,63000,19282,,,111.25,,,,9.5,,,2026E EPS 없음·적자
223,대한조선,439260,KOSPI,조선,07_조선,50500,19235,6.91,6.36,1.78,7937,35188,910,13.8,,,사이클 — 정점 EPS에 정상 배수 적용 불가
224,HD현대마린엔진,071970,KOSPI,조선,07_조선,56700,19233,11.65,14.88,3.93,3811,14392,,13.8,,,사이클 — 정점 EPS에 정상 배수 적용 불가
225,브이엠,089970,KOSDAQ,반도체와반도체장비,22_반도체,72400,19061,71.15,22.02,10.61,3287,9985,345,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
226,씨에스윈드,112610,KOSPI,에너지장비및서비스,01_에너지,44900,18935,54.57,10.21,1.61,4398,31101,938,10.2,,,사이클 — 정점 EPS에 정상 배수 적용 불가
227,NHN,181710,KOSPI,IT서비스,20_소프트웨어,54200,17752,56.79,15.33,1.14,3536,51922,511,15.3,54207,0.0,
228,테크윙,089030,KOSDAQ,반도체와반도체장비,22_반도체,47800,17712,189.6,,7.94,,,,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
229,CJ대한통운,000120,KOSPI,항공화물운송과물류,09_운송,77400,17657,7.29,7.9,0.37,9792,217952,844,10.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
230,현대위아,011210,KOSPI,자동차부품,10_자동차,64900,17650,17.82,11.71,0.48,5544,139626,1342,10.6,58766,-9.5,
231,호텔신라,008770,KOSPI,백화점과일반상점,14_소매유통,44600,17505,,15.49,1.53,2878,32231,,10.8,30967,-30.6,
232,SK리츠,395400,KOSPI,,,5810,17489,90.21,,0.9,,,,14.6,,,2026E EPS 없음·적자
233,에스엠,041510,KOSDAQ,방송과엔터테인먼트,13_미디어교육,76300,17469,5.04,14.36,1.74,5314,47337,1670,13.4,71340,-6.5,
234,다우기술,023590,KOSPI,증권,18_증권,40300,17445,3.58,,0.5,,,,5.9,,,2026E EPS 없음·적자
235,SK이터닉스,475150,KOSPI,에너지장비및서비스,01_에너지,51100,17408,56.13,57.42,6.31,890,8935,,10.2,,,사이클 — 정점 EPS에 정상 배수 적용 불가
236,에임드바이오,0009K0,KOSDAQ,생물공학,16_건강관리,26800,17332,291.57,,8.93,,,,25.1,,,2026E EPS 없음·적자
237,엘앤씨바이오,290650,KOSDAQ,건강관리장비와용품,16_건강관리,63500,17126,,72.11,7.81,881,8913,70,25.1,,,선행PER이 업종 중앙 대비 2.9배 — 배수 접근 부적합
238,씨젠,096530,KOSDAQ,생명과학도구및서비스,16_건강관리,32550,17000,35.21,16.76,1.48,1942,23242,1150,25.1,48647,49.5,
239,두산우,000155,KOSPI,복합기업,08_상사자본재,425000,16985,331.93,51.88,13.47,22687,128502,4409,13.5,,,선행PER이 업종 중앙 대비 3.8배 — 배수 접근 부적합
240,롯데에너지머티리얼즈,020150,KOSPI,전자장비와기기,21_IT하드웨어,32400,16966,,,1.02,-581,31085,,26.3,,,2026E EPS 없음·적자
241,코오롱인더,120110,KOSPI,화학,02_화학,56600,16949,44.77,8.12,0.44,6968,124920,1580,23.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
242,비에이치아이,083650,KOSDAQ,에너지장비및서비스,01_에너지,54600,16896,25.91,21.67,9.51,2520,8254,,10.2,,,사이클 — 정점 EPS에 정상 배수 적용 불가
243,오리온홀딩스,001800,KOSPI,식품,15_필수소비재,27950,16814,14.47,,0.68,,,,9.5,,,2026E EPS 없음·적자
244,코오롱티슈진,950160,KOSDAQ,생물공학,16_건강관리,19620,16671,,,25.48,-461,683,,25.1,,,2026E EPS 없음·적자
245,LS마린솔루션,060370,KOSDAQ,건설,05_건설건축관련,31850,16638,162.07,66.82,2.58,477,13342,160,12.6,,,선행PER이 업종 중앙 대비 5.3배 — 배수 접근 부적합
246,JYP Ent.,035900,KOSDAQ,방송과엔터테인먼트,13_미디어교육,46550,16540,10.3,12.49,2.49,3726,21933,814,13.4,50022,7.5,
247,동원산업,006040,KOSPI,식품,15_필수소비재,37100,16376,4.22,4.81,0.46,7716,86998,1262,9.5,73148,97.2,
248,롯데렌탈,089860,KOSPI,도로와철도운송,09_운송,45000,16339,12.8,11.82,1.04,3806,45978,1280,10.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
249,비츠로셀,082920,KOSDAQ,전기제품,06_기계,34950,15776,27.84,20.28,4.75,1724,8844,328,40.2,69357,98.4,
250,SK네트웍스,001740,KOSPI,복합기업,08_상사자본재,7860,15767,34.93,18.28,0.75,430,10607,262,13.5,5809,-26.1,
251,원익홀딩스,030530,KOSDAQ,반도체와반도체장비,22_반도체,20300,15679,57.26,,1.55,,,,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
252,녹십자,006280,KOSPI,제약,16_건강관리,132700,15508,,8.59,1.24,15440,121674,1519,25.1,,,선행PER이 업종 중앙 대비 0.3배 — 배수 접근 부적합
253,미래에셋증권2우B,00680K,KOSPI,증권,18_증권,11360,15506,16.48,7.51,1.56,4726,29310,644,5.9,28049,146.9,
254,오름테라퓨틱,475830,KOSDAQ,제약,16_건강관리,71000,15421,,,11.52,,,,25.1,,,2026E EPS 없음·적자
255,HJ중공업,097230,KOSPI,건설,05_건설건축관련,17070,15413,28.22,9.76,2.3,1750,8462,,12.6,22120,29.6,
256,네이처셀,007390,KOSDAQ,생물공학,16_건강관리,23400,15078,,,23.92,,,,25.1,,,2026E EPS 없음·적자
257,대웅제약,069620,KOSPI,제약,16_건강관리,130100,15074,7.7,8.17,1.49,15931,103635,600,25.1,,,선행PER이 업종 중앙 대비 0.3배 — 배수 접근 부적합
258,태성,323280,KOSDAQ,전자장비와기기,21_IT하드웨어,49350,15070,,,11.75,,,,26.3,,,2026E EPS 없음·적자
259,기가비스,420770,KOSDAQ,반도체와반도체장비,22_반도체,117400,14881,96.31,57.83,7.05,2030,18274,800,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
260,대주전자재료,078600,KOSDAQ,전자장비와기기,21_IT하드웨어,94400,14825,70.73,87.55,5.63,1078,17740,100,26.3,,,선행PER이 업종 중앙 대비 3.3배 — 배수 접근 부적합
261,세아베스틸지주,001430,KOSPI,철강,04_철강,41300,14811,26.36,14.86,0.76,2779,55633,1187,14.9,,,사이클 — 정점 EPS에 정상 배수 적용 불가
262,IPARK현대산업개발,294870,KOSPI,건설,05_건설건축관련,22450,14796,9.36,4.05,0.44,5546,55925,984,12.6,,,선행PER이 업종 중앙 대비 0.3배 — 배수 접근 부적합
263,아시아나항공,020560,KOSPI,항공사,09_운송,7120,14667,,,1.97,,,,10.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
264,LX인터내셔널,001120,KOSPI,무역회사와판매업체,08_상사자본재,37750,14632,10.32,5.39,0.49,7001,82038,2267,13.5,,,선행PER이 업종 중앙 대비 0.4배 — 배수 접근 부적합
265,LS에코에너지,229640,KOSPI,전기장비,06_기계,46800,14332,34.07,26.69,6.78,1753,8573,246,40.2,70523,50.7,
266,효성티앤씨,298020,KOSPI,무역회사와판매업체,08_상사자본재,331000,14325,132.46,5.36,0.91,61734,424679,10417,13.5,,,선행PER이 업종 중앙 대비 0.4배 — 배수 접근 부적합
267,오스코텍,039200,KOSDAQ,제약,16_건강관리,37400,14309,27.33,,7.89,,,,25.1,,,2026E EPS 없음·적자
268,제이에스링크,127120,KOSDAQ,생명과학도구및서비스,16_건강관리,41000,14249,,,19.1,,,,25.1,,,2026E EPS 없음·적자
269,두산테스나,131970,KOSDAQ,반도체와반도체장비,22_반도체,73300,14167,938.18,36.64,3.23,2001,24544,160,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
270,성호전자,043260,KOSDAQ,전기제품,06_기계,19700,14133,14.69,4.96,5.57,3976,9787,,40.2,,,선행PER이 업종 중앙 대비 0.1배 — 배수 접근 부적합
271,코리아써키트,007810,KOSPI,전자장비와기기,21_IT하드웨어,58900,14126,34.12,13.41,3.67,4392,20234,100,26.3,115378,95.9,
272,RFHIC,218410,KOSDAQ,통신장비,21_IT하드웨어,52100,13846,48.17,26.27,3.89,1983,14641,500,26.3,52093,-0.0,
273,케이씨텍,281820,KOSPI,반도체와반도체장비,22_반도체,69300,13720,26.88,10.72,2.58,6467,32533,650,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
274,HDC,012630,KOSPI,건설,05_건설건축관련,22950,13711,4.56,,0.39,,,,12.6,,,2026E EPS 없음·적자
275,오뚜기,007310,KOSPI,식품,15_필수소비재,333000,13346,19.28,,0.55,,,,9.5,,,2026E EPS 없음·적자
276,HD현대에너지솔루션,322000,KOSPI,에너지장비및서비스,01_에너지,118500,13272,31.85,11.32,3.18,10464,47723,,10.2,,,사이클 — 정점 EPS에 정상 배수 적용 불가
277,더블유게임즈,192080,KOSPI,게임엔터테인먼트,20_소프트웨어,61800,13085,10.12,6.7,1.0,9227,69941,1329,15.3,141450,128.9,
278,스피어,347700,KOSDAQ,우주항공과국방,06_기계,25350,13068,5476.53,27.78,17.08,912,2354,,40.2,36690,44.7,
279,코스모신소재,005070,KOSPI,화학,02_화학,39250,13037,,324.39,2.57,121,15767,,23.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
280,하림지주,003380,KOSDAQ,식품,15_필수소비재,11580,12970,5.65,4.6,0.36,2518,35825,120,9.5,23871,106.1,
281,동양생명,082640,KOSPI,생명보험,19_보험,8250,12875,10.69,,0.83,,,,13.8,,,2026E EPS 없음·적자
282,삼성전기우,009155,KOSPI,전자장비와기기,21_IT하드웨어,436500,12689,138.69,63.93,9.99,19742,146105,2690,26.3,518622,18.8,
283,한국카본,017960,KOSPI,조선,07_조선,24350,12583,12.42,10.7,2.11,2276,13185,310,13.8,,,사이클 — 정점 EPS에 정상 배수 적용 불가
284,KB발해인프라,415640,KOSPI,,,10260,12573,22.45,,1.51,,,650,14.6,,,2026E EPS 없음·적자
285,대신증권,003540,KOSPI,증권,18_증권,26300,12536,12.86,5.6,0.49,4700,59217,1200,5.9,27894,6.1,
286,하나머티리얼즈,166090,KOSDAQ,반도체와반도체장비,22_반도체,63300,12519,32.62,16.47,2.63,3843,27791,350,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
287,롯데정밀화학,004000,KOSPI,화학,02_화학,48400,12487,11.77,6.01,0.51,8050,102026,1933,23.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
288,SK아이이테크놀로지,361610,KOSPI,전기제품,06_기계,15220,12448,,,0.48,-6348,23688,,40.2,,,2026E EPS 없음·적자
289,삼성화재우,000815,KOSPI,손해보험,19_보험,406500,12224,15.75,13.8,1.28,46458,630365,22980,13.8,641120,57.7,
290,HK이노엔,195940,KOSDAQ,제약,16_건강관리,42250,11969,15.81,12.99,0.9,3253,49630,410,25.1,81488,92.9,
291,삼현,437730,KOSDAQ,자동차부품,10_자동차,37600,11922,114.54,,9.02,,,,10.6,,,2026E EPS 없음·적자
292,리브스메드,491000,KOSDAQ,건강관리장비와용품,16_건강관리,46400,11718,,,6.33,-765,,,25.1,,,2026E EPS 없음·적자
293,롯데웰푸드,280360,KOSPI,식품,15_필수소비재,127200,11708,16.45,9.33,0.51,13630,258698,3642,9.5,129212,1.6,
294,코스메카코리아,241710,KOSDAQ,화장품,11_화장품의류완구,109400,11684,25.71,15.82,4.62,6914,29746,402,15.8,109034,-0.3,
295,LG전자우,066575,KOSPI,전자제품,23_IT가전,67000,11511,34.15,14.39,1.37,12631,148343,1448,14.4,181760,171.3,
296,교보증권,030610,KOSPI,증권,18_증권,10090,11499,8.05,,0.54,,,,5.9,,,2026E EPS 없음·적자
297,후성,093370,KOSPI,화학,02_화학,10640,11412,214.85,51.64,3.41,206,3262,,23.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
298,대원전선,006340,KOSPI,전기장비,06_기계,14520,11386,128.87,,9.51,,,,40.2,,,2026E EPS 없음·적자
299,STX엔진,077970,KOSPI,조선,07_조선,28300,11362,15.3,13.37,3.31,2117,10673,,13.8,,,사이클 — 정점 EPS에 정상 배수 적용 불가
300,롯데리츠,330590,KOSPI,,,3915,11313,57.64,,0.99,,,,14.6,,,2026E EPS 없음·적자
