순위,종목명,종목코드,시장,업종(WICS),저장소폴더,종가,시가총액(억),후행PER,선행PER(26E),PBR,2026E EPS,2026E BPS,2026E DPS,업종중앙PER,목표가,상방(%),비고
47,알테오젠,196170,KOSDAQ,생물공학,16_건강관리,327500,175495,161.67,85.68,51.56,3822,9917,347,25.1,,,선행PER이 업종 중앙 대비 3.4배 — 배수 접근 부적합
48,LIG디펜스앤에어로스페이스,079550,KOSPI,우주항공과국방,06_기계,760000,167200,65.99,46.25,11.61,16432,78353,3524,40.2,661059,-13.0,
49,LG,003550,KOSPI,복합기업,08_상사자본재,108300,163741,23.4,14.52,0.58,7459,196707,3544,13.5,100771,-7.0,
50,기업은행,024110,KOSPI,은행,17_은행,20150,160681,5.93,5.76,0.44,3496,47635,1098,8.0,27793,37.9,
51,S-Oil,010950,KOSPI,석유와가스,01_에너지,141600,159417,93.31,5.87,1.85,24109,98169,3768,10.2,,,사이클 — 정점 EPS에 정상 배수 적용 불가
52,현대로템,064350,KOSPI,우주항공과국방,06_기계,141400,154327,20.04,17.24,5.01,8202,35637,696,40.2,329966,133.4,
53,현대글로비스,086280,KOSPI,항공화물운송과물류,09_운송,201500,151125,8.72,9.07,1.46,22213,154179,6369,10.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
54,에이피알,278470,KOSPI,화장품,11_화장품의류완구,385500,144324,50.04,24.73,32.37,15589,22546,5410,15.8,245839,-36.2,
55,포스코퓨처엠,003670,KOSPI,화학,02_화학,156900,139557,406.95,652.49,3.43,240,45262,249,23.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
56,한화시스템,272210,KOSPI,우주항공과국방,06_기계,72900,137722,56.86,90.27,2.81,808,29090,422,40.2,32506,-55.4,
57,KT,030200,KOSPI,다각화된통신서비스,25_통신서비스,52800,133067,7.69,9.28,0.72,5690,78440,2433,9.3,52803,0.0,
58,한국항공우주,047810,KOSPI,우주항공과국방,06_기계,135500,132079,71.05,51.35,7.22,2639,20920,694,40.2,106167,-21.6,
59,LG이노텍,011070,KOSPI,전자장비와기기,21_IT하드웨어,549000,129932,38.07,14.07,2.25,39030,284448,2359,26.3,1025318,86.8,
60,현대건설,000720,KOSPI,건설,05_건설건축관련,112300,125053,33.83,24.43,1.53,4596,81008,850,12.6,58093,-48.3,
61,에코프로,086520,KOSDAQ,화학,02_화학,90300,122606,,,6.18,,,,23.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
62,현대오토에버,307950,KOSPI,IT서비스,20_소프트웨어,432500,118609,65.0,55.84,6.42,7745,73238,2023,15.3,,,선행PER이 업종 중앙 대비 3.6배 — 배수 접근 부적합
63,크래프톤,259960,KOSPI,게임엔터테인먼트,20_소프트웨어,244000,112576,15.81,12.12,1.55,20134,181450,2431,15.3,308654,26.5,
64,한국금융지주,071050,KOSPI,증권,18_증권,198100,110393,6.04,4.02,0.96,49263,244174,12454,5.9,292376,47.6,
65,DB손해보험,005830,KOSPI,손해보험,19_보험,164500,107748,6.51,,0.92,,,8286,13.8,,,2026E EPS 없음·적자
66,에코프로비엠,247540,KOSDAQ,전기제품,06_기계,109800,107418,272.75,640.57,6.21,171,17395,100,40.2,,,선행PER이 업종 중앙 대비 15.9배 — 배수 접근 부적합
67,삼성에피스홀딩스,0126Z0,KOSPI,제약,16_건강관리,426500,106126,20.11,44.85,1.79,9510,247611,,25.1,238226,-44.1,
68,카카오뱅크,323410,KOSPI,은행,17_은행,22200,105921,22.05,17.54,1.57,1265,14703,621,8.0,10057,-54.7,
69,NH투자증권,005940,KOSPI,증권,18_증권,28350,104670,9.82,6.27,1.13,4521,28240,2023,5.9,26832,-5.4,
70,LS,006260,KOSPI,전기장비,06_기계,322500,100620,38.13,16.24,1.76,19854,201946,2670,40.2,798726,147.7,
71,포스코인터내셔널,047050,KOSPI,무역회사와판매업체,08_상사자본재,56100,98693,16.07,10.73,1.43,5227,42298,2395,13.5,70617,25.9,
72,대한항공,003490,KOSPI,항공사,09_운송,26650,98131,12.62,27.66,0.9,964,28550,778,10.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
73,삼성E&A,028050,KOSPI,건설,05_건설건축관련,48950,95942,15.54,12.96,2.02,3777,27279,845,12.6,47741,-2.5,
74,삼양식품,003230,KOSPI,식품,15_필수소비재,1254000,94464,24.26,16.75,7.52,74874,235457,5636,9.5,709806,-43.4,
75,레인보우로보틱스,277810,KOSDAQ,기계,06_기계,480000,93119,6550.76,620.8,69.58,773,7629,,40.2,,,선행PER이 업종 중앙 대비 15.4배 — 배수 접근 부적합
76,GS,078930,KOSPI,석유와가스,01_에너지,97500,90573,11.56,5.78,0.63,16872,169017,3500,10.2,,,사이클 — 정점 EPS에 정상 배수 적용 불가
77,HD현대마린솔루션,443060,KOSPI,조선,07_조선,200000,89667,33.26,25.52,10.87,7838,22400,5415,13.8,,,사이클 — 정점 EPS에 정상 배수 적용 불가
78,삼성증권,016360,KOSPI,증권,18_증권,92700,82781,8.22,4.92,1.03,18859,102865,6817,5.9,111928,20.7,
79,한화솔루션,009830,KOSPI,에너지장비및서비스,01_에너지,36350,81748,,22.5,0.76,1615,44231,230,10.2,,,사이클 — 정점 EPS에 정상 배수 적용 불가
80,한국타이어앤테크놀로지,161390,KOSPI,자동차부품,10_자동차,65500,81138,7.45,6.14,0.66,10663,108832,3118,10.6,113028,72.6,
81,아모레퍼시픽,090430,KOSPI,화장품,11_화장품의류완구,137300,80311,40.23,25.43,1.74,5399,82842,1532,15.8,85142,-38.0,
82,한진칼,180640,KOSPI,항공사,09_운송,117900,78713,51.19,,2.37,,,,10.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
83,키움증권,039490,KOSPI,증권,18_증권,300000,78685,7.41,4.31,1.18,69526,303880,18756,5.9,412637,37.5,
84,하이브,352820,KOSPI,방송과엔터테인먼트,13_미디어교육,180300,77722,,41.26,2.35,4370,81426,773,13.4,,,선행PER이 업종 중앙 대비 3.1배 — 배수 접근 부적합
85,주성엔지니어링,036930,KOSDAQ,반도체와반도체장비,22_반도체,162400,75485,215.06,154.44,12.57,1052,13984,53,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
86,LG씨엔에스,064400,KOSPI,IT서비스,20_소프트웨어,75600,73246,16.62,15.53,2.5,4867,33457,2019,15.3,74611,-1.3,
87,대우건설,047040,KOSPI,건설,05_건설건축관련,17320,71169,,12.64,2.13,1370,9575,,12.6,17317,-0.0,
88,SK바이오팜,326030,KOSPI,제약,16_건강관리,90500,70873,26.55,21.17,8.72,4276,14721,,25.1,107114,18.4,
89,현대차2우B,005387,KOSPI,자동차,10_자동차,199400,69718,11.41,10.6,0.92,38028,471042,10670,10.6,403097,102.2,
90,코웨이,021240,KOSPI,가정용기기와용품,15_필수소비재,97600,69069,11.4,9.48,1.91,10292,60276,3100,9.5,97568,-0.0,
91,유한양행,000100,KOSPI,제약,16_건강관리,85600,68178,35.83,41.64,2.77,2056,35165,600,25.1,51503,-39.8,
92,HD건설기계,267270,KOSPI,기계,06_기계,142000,68049,25.3,11.55,1.37,12291,113242,2242,40.2,,,선행PER이 업종 중앙 대비 0.3배 — 배수 접근 부적합
93,LG유플러스,032640,KOSPI,무선통신서비스,25_통신서비스,15590,66168,12.91,9.02,0.75,1729,21913,699,9.3,16045,2.9,
94,이수페타시스,007660,KOSPI,반도체와반도체장비,22_반도체,87800,64453,38.91,24.39,8.53,3600,13717,220,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
95,두산밥캣,241560,KOSPI,기계,06_기계,63800,61156,15.31,11.06,0.85,5767,80635,1871,40.2,,,선행PER이 업종 중앙 대비 0.3배 — 배수 접근 부적합
