code,name,market,wi26,dir,wics,source,k200,prev_dir
241560,두산밥캣,KOSPI,기계,06_기계,기계,PG sector_map(wi26),1,06_기계
001440,대한전선,KOSPI,기계,06_기계,전기장비,PG sector_map(wi26),1,06_기계
454910,두산로보틱스,KOSPI,기계,06_기계,기계,PG sector_map(wi26),1,06_기계
108490,로보티즈,KOSDAQ,기계,06_기계,기계,PG sector_map(wi26),,06_기계
103590,일진전기,KOSPI,기계,06_기계,전기장비,PG sector_map(wi26),,06_기계
017800,현대엘리베이터,KOSPI,기계,06_기계,기계,PG sector_map(wi26),1,06_기계
319400,현대무벡스,KOSDAQ,기계,06_기계,기계,PG sector_map(wi26),,06_기계
178320,서진시스템,KOSDAQ,기계,06_기계,전기장비,PG sector_map(wi26),,06_기계
229640,LS에코에너지,KOSPI,기계,06_기계,전기장비,PG sector_map(wi26),,06_기계
006340,대원전선,KOSPI,기계,06_기계,전기장비,PG sector_map(wi26),,06_기계
329180,HD현대중공업,KOSPI,조선,07_조선,조선,PG sector_map(wi26),1,07_조선
042660,한화오션,KOSPI,조선,07_조선,조선,PG sector_map(wi26),1,07_조선
009540,HD한국조선해양,KOSPI,조선,07_조선,조선,PG sector_map(wi26),1,07_조선
010140,삼성중공업,KOSPI,조선,07_조선,조선,PG sector_map(wi26),1,07_조선
267250,HD현대,KOSPI,조선,07_조선,조선,PG sector_map(wi26),1,07_조선
443060,HD현대마린솔루션,KOSPI,조선,07_조선,조선,PG sector_map(wi26),1,07_조선
082740,한화엔진,KOSPI,조선,07_조선,조선,PG sector_map(wi26),1,07_조선
439260,대한조선,KOSPI,조선,07_조선,조선,PG sector_map(wi26),,07_조선
071970,HD현대마린엔진,KOSPI,조선,07_조선,조선,PG sector_map(wi26),1,07_조선
017960,한국카본,KOSPI,조선,07_조선,조선,PG sector_map(wi26),1,07_조선
077970,STX엔진,KOSPI,조선,07_조선,조선,PG sector_map(wi26),,07_조선
028260,삼성물산,KOSPI,"상사,자본재",08_상사자본재,복합기업,PG sector_map(wi26),1,08_상사자본재
012450,한화에어로스페이스,KOSPI,"상사,자본재",08_상사자본재,우주항공과국방,PG sector_map(wi26),1,06_기계
000150,두산,KOSPI,"상사,자본재",08_상사자본재,복합기업,PG sector_map(wi26),1,08_상사자본재
003550,LG,KOSPI,"상사,자본재",08_상사자본재,복합기업,PG sector_map(wi26),1,08_상사자본재
